option_symbol,expiration,strike,call_put,exercise_style,shares_per_contract,date,open,high,low,close
O:PLTR230317P00005000,2023-03-17,5.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00006000,2023-03-17,6.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00007000,2023-03-17,7.0,put,american,100,2023-02-17,0.01,0.01,0.01,0.01
O:PLTR230317P00008000,2023-03-17,8.0,put,american,100,2023-02-17,0.11,0.19,0.06,0.12
O:PLTR230317P00009000,2023-03-17,9.0,put,american,100,2023-02-17,1.06,1.16,0.99,1.12
O:PLTR230317P00010000,2023-03-17,10.0,put,american,100,2023-02-17,2.12,2.16,2.01,2.08
O:PLTR230317P00011000,2023-03-17,11.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00012000,2023-03-17,12.0,put,american,100,2023-02-17,4.12,4.16,4.12,4.14
O:PLTR230317P00013000,2023-03-17,13.0,put,american,100,2023-02-17,5.4,5.4,5.4,5.4
O:PLTR230317P00014000,2023-03-17,14.0,put,american,100,2023-02-17,6.28,6.31,6.26,6.26
O:PLTR230317P00015000,2023-03-17,15.0,put,american,100,2023-02-17,7.0,7.0,7.0,7.0
O:PLTR230317P00016000,2023-03-17,16.0,put,american,100,2023-02-17,8.05,8.05,8.05,8.05
O:PLTR230317P00017000,2023-03-17,17.0,put,american,100,2023-02-17,8.73,8.73,8.73,8.73
O:PLTR230317P00018000,2023-03-17,18.0,put,american,100,2023-02-17,,,,
O:PLTR230317P00019000,2023-03-17,19.0,put,american,100,2023-02-17,10.7,10.7,10.7,10.7
O:PLTR230317P00020000,2023-03-17,20.0,put,american,100,2023-02-17,12.13,12.13,12.12,12.12
O:PLTR230317P00022000,2023-03-17,22.0,put,american,100,2023-02-17,14.0,14.0,14.0,14.0
O:PLTR230317P00025000,2023-03-17,25.0,put,american,100,2023-02-17,16.05,16.47,16.05,16.47
O:PLTR230421C00001000,2023-04-21,1.0,call,american,100,2023-03-17,7.15,7.15,7.15,7.15
O:PLTR230421C00002000,2023-04-21,2.0,call,american,100,2023-03-17,,,,
O:PLTR230421C00003000,2023-04-21,3.0,call,american,100,2023-03-17,5.3,5.3,5.3,5.3
O:PLTR230421C00004000,2023-04-21,4.0,call,american,100,2023-03-17,3.7,4.06,3.7,4.06
O:PLTR230421C00005000,2023-04-21,5.0,call,american,100,2023-03-17,3.1,3.1,3.1,3.1
O:PLTR230421C00006000,2023-04-21,6.0,call,american,100,2023-03-17,2.18,2.19,2.14,2.18
O:PLTR230421C00007000,2023-04-21,7.0,call,american,100,2023-03-17,1.13,1.22,1.12,1.19
O:PLTR230421C00008000,2023-04-21,8.0,call,american,100,2023-03-17,0.14,0.23,0.12,0.15
O:PLTR230421C00009000,2023-04-21,9.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421C00010000,2023-04-21,10.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421C00011000,2023-04-21,11.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421C00012000,2023-04-21,12.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421C00013000,2023-04-21,13.0,call,american,100,2023-03-17,,,,
O:PLTR230421C00014000,2023-04-21,14.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421C00015000,2023-04-21,15.0,call,american,100,2023-03-17,0.02,0.02,0.02,0.02
O:PLTR230421C00016000,2023-04-21,16.0,call,american,100,2023-03-17,0.02,0.03,0.02,0.03
O:PLTR230421C00017000,2023-04-21,17.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421C00018000,2023-04-21,18.0,call,american,100,2023-03-17,,,,
O:PLTR230421C00019000,2023-04-21,19.0,call,american,100,2023-03-17,,,,
O:PLTR230421C00020000,2023-04-21,20.0,call,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421P00001000,2023-04-21,1.0,put,american,100,2023-03-17,,,,
O:PLTR230421P00002000,2023-04-21,2.0,put,american,100,2023-03-17,,,,
O:PLTR230421P00003000,2023-04-21,3.0,put,american,100,2023-03-17,0.02,0.02,0.02,0.02
O:PLTR230421P00004000,2023-04-21,4.0,put,american,100,2023-03-17,0.03,0.03,0.03,0.03
O:PLTR230421P00005000,2023-04-21,5.0,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421P00006000,2023-04-21,6.0,put,american,100,2023-03-17,0.03,0.03,0.02,0.02
O:PLTR230421P00007000,2023-04-21,7.0,put,american,100,2023-03-17,0.01,0.01,0.01,0.01
O:PLTR230421P00008000,2023-04-21,8.0,put,american,100,2023-03-17,0.03,0.03,0.01,0.01
O:PLTR230421P00009000,2023-04-21,9.0,put,american,100,2023-03-17,0.88,0.89,0.78,0.82
O:PLTR230421P00010000,2023-04-21,10.0,put,american,100,2023-03-17,1.82,1.84,1.79,1.79
O:PLTR230421P00011000,2023-04-21,11.0,put,american,100,2023-03-17,,,,
O:PLTR230421P00012000,2023-04-21,12.0,put,american,100,2023-03-17,3.2,3.2,3.2,3.2
O:PLTR230421P00013000,2023-04-21,13.0,put,american,100,2023-03-17,4.85,4.85,4.85,4.85
O:PLTR230421P00014000,2023-04-21,14.0,put,american,100,2023-03-17,,,,
O:PLTR230421P00015000,2023-04-21,15.0,put,american,100,2023-03-17,6.46,6.46,6.46,6.46
O:PLTR230421P00016000,2023-04-21,16.0,put,american,100,2023-03-17,8.0,8.0,8.0,8.0
O:PLTR230421P00017000,2023-04-21,17.0,put,american,100,2023-03-17,8.9,8.9,8.9,8.9
O:PLTR230421P00018000,2023-04-21,18.0,put,american,100,2023-03-17,9.7,9.7,9.7,9.7
O:PLTR230421P00019000,2023-04-21,19.0,put,american,100,2023-03-17,,,,
O:PLTR230421P00020000,2023-04-21,20.0,put,american,100,2023-03-17,12.11,12.11,12.0,12.0
O:PLTR230519C00001000,2023-05-19,1.0,call,american,100,2023-04-21,8.95,8.95,8.95,8.95
O:PLTR230519C00002000,2023-05-19,2.0,call,american,100,2023-04-21,7.9,7.9,7.75,7.79
O:PLTR230519C00003000,2023-05-19,3.0,call,american,100,2023-04-21,8.75,8.75,8.75,8.75
O:PLTR230519C00004000,2023-05-19,4.0,call,american,100,2023-04-21,7.95,7.95,7.69,7.72
O:PLTR230519C00005000,2023-05-19,5.0,call,american,100,2023-04-21,6.8,6.8,6.58,6.58
O:PLTR230519C00006000,2023-05-19,6.0,call,american,100,2023-04-21,6.45,6.45,5.6,5.7
O:PLTR230519C00007000,2023-05-19,7.0,call,american,100,2023-04-21,5.36,5.36,4.55,4.72
O:PLTR230519C00008000,2023-05-19,8.0,call,american,100,2023-04-21,4.45,4.45,3.54,3.7
O:PLTR230519C00009000,2023-05-19,9.0,call,american,100,2023-04-21,2.96,3.45,2.52,2.68
O:PLTR230519C00010000,2023-05-19,10.0,call,american,100,2023-04-21,1.95,2.4,1.52,1.69
O:PLTR230519C00011000,2023-05-19,11.0,call,american,100,2023-04-21,0.98,1.5,0.58,0.67
O:PLTR230519C00012000,2023-05-19,12.0,call,american,100,2023-04-21,0.31,0.6,0.01,0.01
O:PLTR230519C00013000,2023-05-19,13.0,call,american,100,2023-04-21,0.05,0.21,0.01,0.01
O:PLTR230519C00014000,2023-05-19,14.0,call,american,100,2023-04-21,0.03,0.08,0.01,0.01
O:PLTR230519C00015000,2023-05-19,15.0,call,american,100,2023-04-21,,,,
O:PLTR230519C00016000,2023-05-19,16.0,call,american,100,2023-04-21,0.01,0.03,0.01,0.01
O:PLTR230519C00017000,2023-05-19,17.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519C00018000,2023-05-19,18.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519C00019000,2023-05-19,19.0,call,american,100,2023-04-21,0.02,0.02,0.02,0.02
O:PLTR230519C00020000,2023-05-19,20.0,call,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00001000,2023-05-19,1.0,put,american,100,2023-04-21,,,,
O:PLTR230519P00002000,2023-05-19,2.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00003000,2023-05-19,3.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00004000,2023-05-19,4.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00005000,2023-05-19,5.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00006000,2023-05-19,6.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00007000,2023-05-19,7.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00008000,2023-05-19,8.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00009000,2023-05-19,9.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00010000,2023-05-19,10.0,put,american,100,2023-04-21,0.01,0.01,0.01,0.01
O:PLTR230519P00011000,2023-05-19,11.0,put,american,100,2023-04-21,0.06,0.07,0.01,0.01
O:PLTR230519P00012000,2023-05-19,12.0,put,american,100,2023-04-21,0.31,0.56,0.15,0.3
O:PLTR230519P00013000,2023-05-19,13.0,put,american,100,2023-04-21,0.88,1.37,0.88,1.37
O:PLTR230519P00014000,2023-05-19,14.0,put,american,100,2023-04-21,2.43,2.43,2.21,2.38
O:PLTR230519P00015000,2023-05-19,15.0,put,american,100,2023-04-21,3.43,3.43,3.4,3.4
O:PLTR230519P00016000,2023-05-19,16.0,put,american,100,2023-04-21,6.45,6.45,6.45,6.45
O:PLTR230519P00017000,2023-05-19,17.0,put,american,100,2023-04-21,7.45,7.45,7.45,7.45
O:PLTR230519P00018000,2023-05-19,18.0,put,american,100,2023-04-21,8.63,8.65,8.63,8.65
O:PLTR230519P00019000,2023-05-19,19.0,put,american,100,2023-04-21,7.6,7.6,7.6,7.6
O:PLTR230519P00020000,2023-05-19,20.0,put,american,100,2023-04-21,10.45,10.45,10.45,10.45
O:PLTR230616C00001000,2023-06-16,1.0,call,american,100,2023-05-19,14.95,15.48,14.95,15.48
O:PLTR230616C00002000,2023-06-16,2.0,call,american,100,2023-05-19,10.6,10.6,10.6,10.6
O:PLTR230616C00003000,2023-06-16,3.0,call,american,100,2023-05-19,12.7,12.7,12.7,12.7
O:PLTR230616C00004000,2023-06-16,4.0,call,american,100,2023-05-19,11.9,11.9,11.9,11.9
O:PLTR230616C00005000,2023-06-16,5.0,call,american,100,2023-05-19,11.5,11.5,11.15,11.3
O:PLTR230616C00006000,2023-06-16,6.0,call,american,100,2023-05-19,10.32,10.32,10.15,10.15
O:PLTR230616C00007000,2023-06-16,7.0,call,american,100,2023-05-19,9.5,9.5,9.07,9.3
O:PLTR230616C00008000,2023-06-16,8.0,call,american,100,2023-05-19,8.55,8.57,8.05,8.34
O:PLTR230616C00009000,2023-06-16,9.0,call,american,100,2023-05-19,7.55,7.65,7.07,7.25
O:PLTR230616C00010000,2023-06-16,10.0,call,american,100,2023-05-19,6.75,6.95,6.03,6.35
O:PLTR230616C00011000,2023-06-16,11.0,call,american,100,2023-05-19,5.86,5.86,5.0,5.34
O:PLTR230616C00012000,2023-06-16,12.0,call,american,100,2023-05-19,4.84,4.84,4.0,4.28
O:PLTR230616C00013000,2023-06-16,13.0,call,american,100,2023-05-19,3.9,3.9,3.05,3.3
O:PLTR230616C00014000,2023-06-16,14.0,call,american,100,2023-05-19,2.84,2.9,2.05,2.33
O:PLTR230616C00015000,2023-06-16,15.0,call,american,100,2023-05-19,1.84,1.89,1.01,1.31
O:PLTR230616C00016000,2023-06-16,16.0,call,american,100,2023-05-19,0.97,0.97,0.09,0.3
O:PLTR230616C00017000,2023-06-16,17.0,call,american,100,2023-05-19,,,,
O:PLTR230616C00018000,2023-06-16,18.0,call,american,100,2023-05-19,0.03,0.05,0.01,0.02
O:PLTR230616C00019000,2023-06-16,19.0,call,american,100,2023-05-19,0.01,0.02,0.01,0.01
O:PLTR230616C00020000,2023-06-16,20.0,call,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00001000,2023-06-16,1.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00002000,2023-06-16,2.0,put,american,100,2023-05-19,,,,
O:PLTR230616P00003000,2023-06-16,3.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00004000,2023-06-16,4.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00005000,2023-06-16,5.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00006000,2023-06-16,6.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00007000,2023-06-16,7.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00008000,2023-06-16,8.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00009000,2023-06-16,9.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00010000,2023-06-16,10.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00011000,2023-06-16,11.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00012000,2023-06-16,12.0,put,american,100,2023-05-19,0.02,0.02,0.02,0.02
O:PLTR230616P00013000,2023-06-16,13.0,put,american,100,2023-05-19,0.01,0.01,0.01,0.01
O:PLTR230616P00014000,2023-06-16,14.0,put,american,100,2023-05-19,0.01,0.02,0.01,0.01
O:PLTR230616P00015000,2023-06-16,15.0,put,american,100,2023-05-19,0.02,0.03,0.01,0.01
O:PLTR230616P00016000,2023-06-16,16.0,put,american,100,2023-05-19,0.05,0.13,0.01,0.01
O:PLTR230616P00017000,2023-06-16,17.0,put,american,100,2023-05-19,0.35,0.95,0.35,0.67
O:PLTR230616P00018000,2023-06-16,18.0,put,american,100,2023-05-19,1.3,1.95,1.18,1.69
O:PLTR230616P00019000,2023-06-16,19.0,put,american,100,2023-05-19,2.23,2.95,2.23,2.72
O:PLTR230616P00020000,2023-06-16,20.0,put,american,100,2023-05-19,3.45,3.95,3.4,3.8
O:PLTR230721C00001000,2023-07-21,1.0,call,american,100,2023-06-16,15.64,15.64,15.63,15.63
O:PLTR230721C00002000,2023-07-21,2.0,call,american,100,2023-06-16,16.1,16.1,16.1,16.1
O:PLTR230721C00003000,2023-07-21,3.0,call,american,100,2023-06-16,14.4,14.4,14.4,14.4
