ticker,date,MOM,signal,LS_Return,SS_Return,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate
AAPL,2019-01-18,0.010781645,,0.044770879,-0.044770879,41.25,0.4775,2.68125,0.73537993,0.26462007,1.060656478,2019-02-15
AAPL,2019-02-15,0.001139442,,0.09702437,-0.09702437,43.75,0.5,1.6125,0.67064995,0.32935005,0.86640193,2019-03-15
AAPL,2019-03-15,-4.02966E-05,,,,47.5,0.7325,1.55625,0.615065626,0.384934374,1.04958969,2019-04-18
AAPL,2019-04-19,0.009306999,,-0.124167367,0.124167367,,,,,,,
AAPL,2019-05-17,0.01949294,,0.130520561,-0.130520561,50,0.57875,3.18125,0.742121059,0.257878941,1.249879944,2019-06-21
AAPL,2019-06-21,0.012338,,0.076396605,-0.076396605,51.25,0.67375,2.125,0.667849264,0.332150736,1.155783755,2019-07-19
AAPL,2019-07-19,0.001906418,,-0.016429694,0.016429694,52.5,0.6525,2.61875,0.69331348,0.30668652,1.255522371,2019-08-16
AAPL,2019-08-16,0.01122796,,0.072960661,-0.072960661,52.5,1.34375,2.06875,0.557798978,0.442201022,1.664345741,2019-09-20
AAPL,2019-09-20,-4.83701E-05,,0.110684778,-0.110684778,55,1.20625,1.61875,0.54326924,0.45673076,1.394651438,2019-10-18
AAPL,2019-10-18,-0.000787285,,0.077517662,-0.077517662,61.25,0.80625,2.94375,0.691338295,0.308661705,1.466014395,2019-11-15
AAPL,2019-11-15,0.008616165,,0.098783329,-0.098783329,68.75,0.6475,2.91875,0.714448778,0.285551222,1.296058213,2019-12-20
AAPL,2019-12-20,0.03514993,LS,0.054009504,-0.054009504,71.25,0.84375,2.03125,0.641925208,0.358074792,1.268963816,2020-01-17
AAPL,2020-01-17,0.052806108,LS,-0.11467041,0.11467041,78.75,3.1625,2.3,0.431465622,0.568534378,2.672139099,2020-02-21
AAPL,2020-02-21,0.056772418,LS,-0.069761951,0.069761951,81.25,1.08125,3.95,0.68629647,0.31370353,1.981187001,2020-03-20
AAPL,2020-03-20,0.057612293,LS,0.155378332,-0.155378332,65,1.66875,9.23125,0.722784485,0.277215515,3.765192335,2020-04-17
AAPL,2020-04-17,0.038367313,,0.085026539,-0.085026539,70,3.575,3.0875,0.451966172,0.548033828,3.307833509,2020-05-15
AAPL,2020-05-15,0.02689488,,0.147387181,-0.147387181,75,4.2125,2.28125,0.383832766,0.616167234,3.022527029,2020-06-19
AAPL,2020-06-19,0.052308125,,0.165130084,-0.165130084,86.25,3.725,2.45625,0.420812962,0.579187038,2.990156446,2020-07-17
AAPL,2020-07-17,0.048172305,,0.216621831,-0.216621831,100,2.75,6.56875,0.614694581,0.385305419,4.221385067,2020-08-21
AAPL,2020-08-21,0.054625994,LS,-0.102525564,0.102525564,131.25,3.50625,10.1125,0.646571279,0.353428721,5.841088488,2020-09-18
AAPL,2020-09-18,0.071131428,,-0.060012743,0.060012743,117.5,1.995,12.55,0.747208572,0.252791428,4.663213521,2020-10-16
AAPL,2020-10-16,0.084191534,,0.095495309,-0.095495309,130,2.515,13.675,0.725893843,0.274106157,5.574024713,2020-11-20
AAPL,2020-11-20,0.064808776,,0.114571707,-0.114571707,122.5,1.805,6.825,0.69180803,0.30819197,3.35212369,2020-12-18
AAPL,2020-12-18,0.052306012,,-0.005503405,0.005503405,135,2,10.075,0.729585737,0.270414263,4.183595173,2021-01-15
AAPL,2021-01-15,0.052007101,,-0.079705908,0.079705908,125,7.475,5.375,0.425392985,0.574607015,6.26832527,2021-02-19
AAPL,2021-02-19,0.057512756,,0.007337881,-0.007337881,135,2.19,7.2,0.670960101,0.329039899,3.838489893,2021-03-19
AAPL,2021-03-19,0.067437029,,0.076219009,-0.076219009,127.5,1.685,9.1,0.735132771,0.264867229,3.648990506,2021-04-16
AAPL,2021-04-16,0.066533033,,-0.050508757,0.050508757,140,2.645,8.65,0.664339706,0.335660294,4.660640068,2021-05-21
AAPL,2021-05-21,0.05307481,,0.099107954,-0.099107954,130,1.495,6.15,0.70077876,0.29922124,2.887874873,2021-06-18
AAPL,2021-06-18,0.052274126,,0.064982922,-0.064982922,135,1.345,5.6,0.717228762,0.282771238,2.548191617,2021-07-16
AAPL,2021-07-16,0.034283586,,0.04249772,-0.04249772,155,1.825,10.6,0.743446884,0.256553116,4.076253595,2021-08-20
AAPL,2021-08-20,0.028281574,,-0.068037501,0.068037501,150,2.895,4.675,0.564304782,0.435695218,3.670537488,2021-09-17
AAPL,2021-09-17,0.014496219,,0.058655593,-0.058655593,150,2.075,5.875,0.654262853,0.345737147,3.388801159,2021-10-15
AAPL,2021-10-15,0.027680154,,0.105077511,-0.105077511,150,1.81,7.1,0.696452748,0.303547252,3.415764961,2021-11-19
AAPL,2021-11-19,0.02695063,,0.07422929,-0.07422929,165,2.37,6.725,0.65172869,0.34827131,3.886721557,2021-12-17
AAPL,2021-12-17,0.023601565,,-0.015711522,0.015711522,175,5.225,8.6,0.568905783,0.431094217,6.679942982,2022-01-21
AAPL,2022-01-21,0.022738456,,-0.054062955,0.054062955,155,11.65,3.625,0.316897479,0.683102521,6.168102268,2022-02-18
AAPL,2022-02-18,0.029986883,,0.057472776,-0.057472776,175,1.955,9.675,0.724300505,0.275699495,4.083400098,2022-03-18
AAPL,2022-03-18,0.035804554,,,,170,1.775,7.975,0.712836796,0.287163204,3.555411863,2022-04-14
AAPL,2022-04-15,0.03022266,,-0.054501145,0.054501145,,,,,,,
AAPL,2022-05-20,0.028518457,,-0.081428846,0.081428846,145,2.72,9.85,0.682637116,0.317362884,4.982797365,2022-06-17
AAPL,2022-06-17,0.024279976,LS,0.188634962,-0.188634962,140,1.92,10.2,0.731750808,0.268249192,4.14110331,2022-07-15
AAPL,2022-07-15,0.010315513,,-0.031203665,0.031203665,160,2.05,12.025,0.742036146,0.257963854,4.623189444,2022-08-19
AAPL,2022-08-19,-0.002994648,LS,-0.120978331,0.120978331,170,5.925,3.925,0.427070789,0.572929211,4.779141578,2022-09-16
AAPL,2022-09-16,0.010290556,,0.109553003,-0.109553003,160,2.745,11.425,0.70384824,0.29615176,5.315597274,2022-10-21
AAPL,2022-10-21,0.013639087,,-0.033025071,0.033025071,155,3.075,10.6,0.673096394,0.326903606,5.534949633,2022-11-18
AAPL,2022-11-18,-0.00269127,LS,,,160,1.775,10.225,0.743151268,0.256848732,3.945371789,2022-12-16
AMD,2019-01-18,0.096961513,LS,-0.036050653,0.036050653,21,1.59,1.83,0.480817402,0.519182598,1.714603823,2019-02-15
AMD,2019-02-15,0.054242519,LS,0.084572584,-0.084572584,24,1.175,1.45,0.506595363,0.493404637,1.310686275,2019-03-15
AMD,2019-03-15,0.094329231,LS,,,24,0.935,1.595,0.558957826,0.441042174,1.226087835,2019-04-18
AMD,2019-04-19,0.106516301,LS,-0.007960897,0.007960897,,,,,,,
AMD,2019-05-17,0.106696478,LS,0.107988843,-0.107988843,29,1.035,2.495,0.608355663,0.391644337,1.606800732,2019-06-21
AMD,2019-06-21,0.090399148,LS,0.002634671,-0.002634671,30,1.255,2.115,0.555016896,0.444983104,1.63768547,2019-07-19
AMD,2019-07-19,0.081332844,LS,0.032842536,-0.032842536,34,1.515,2.94,0.573446595,0.426553405,2.122838601,2019-08-16
AMD,2019-08-16,0.070894102,LS,-0.07821679,0.07821679,33,1.255,2.975,0.607824862,0.392175138,1.929541237,2019-09-20
AMD,2019-09-20,0.037209997,LS,0.170406174,-0.170406174,31,1.045,1.945,0.575387056,0.424612944,1.427151649,2019-10-18
AMD,2019-10-18,0.019536081,LS,0.153846051,-0.153846051,32,1.53,2.495,0.548233226,0.451766774,1.965954937,2019-11-15
AMD,2019-11-15,0.049742576,LS,0.171391631,-0.171391631,39,1.625,2.01,0.510755695,0.489244305,1.813359057,2019-12-20
AMD,2019-12-20,0.049807738,LS,0.024855818,-0.024855818,44,1.895,1.595,0.461776865,0.538223135,1.733533059,2020-01-17
AMD,2020-01-17,0.075914955,LS,-0.032340304,0.032340304,55,1.665,5.675,0.658454968,0.341545032,3.034595577,2020-02-21
AMD,2020-02-21,0.062193971,LS,2.10159E-06,-2.10159E-06,57.5,1.7,5.9,0.660832333,0.339167667,3.1245042,2020-03-20
AMD,2020-03-20,0.067730923,LS,0.151934979,-0.151934979,48,1.275,9.675,0.74848121,0.25151879,3.387757833,2020-04-17
AMD,2020-04-17,0.057102478,LS,0.026912293,-0.026912293,60,2.785,6.275,0.591120078,0.408879922,4.211990929,2020-05-15
AMD,2020-05-15,0.049586349,LS,-0.022117369,0.022117369,60,1.445,7.2,0.711722678,0.288277322,3.10403599,2020-06-19
AMD,2020-06-19,0.064122337,LS,0.47176901,-0.47176901,60,1.105,6.775,0.74440546,0.25559454,2.554221041,2020-07-17
AMD,2020-07-17,0.056751742,LS,0.172932296,-0.172932296,62.5,1.475,8.875,0.733161264,0.266838736,3.449606646,2020-08-21
AMD,2020-08-21,0.054501556,,-0.097225851,0.097225851,92.5,1.69,10.275,0.742363167,0.257636833,3.901812213,2020-09-18
AMD,2020-09-18,0.094403963,LS,-0.081717896,0.081717896,80,2.57,7.55,0.640438424,0.359561576,4.36061665,2020-10-16
AMD,2020-10-16,0.117235698,LS,0.230709927,-0.230709927,95,2.35,14.1,0.731056583,0.268943417,5.510085154,2020-11-20
AMD,2020-11-20,0.092905514,,-0.010251345,0.010251345,87.5,2.91,5.65,0.584991811,0.415008189,4.047122439,2020-12-18
AMD,2020-12-18,0.07149061,,-0.066189007,0.066189007,105,2.065,11.425,0.727109332,0.272890668,4.619256655,2021-01-15
AMD,2021-01-15,0.076883182,,-0.01319492,0.01319492,100,2.29,14.05,0.735765576,0.264234424,5.397396825,2021-02-19
AMD,2021-02-19,0.073691622,,-0.071116146,0.071116146,95,2.225,7.725,0.665671109,0.334328891,4.063808901,2021-03-19
AMD,2021-03-19,0.070614467,,0.039744619,-0.039744619,82.5,2.11,5.575,0.629535619,0.370464381,3.393659079,2021-04-16
AMD,2021-04-16,0.069414738,,-0.018866903,0.018866903,90,1.72,9.5,0.730072036,0.269927964,3.820039557,2021-05-21
AMD,2021-05-21,0.049137363,,0.172951973,-0.172951973,77.5,2.76,3.075,0.498903685,0.501096315,2.917845339,2021-06-18
AMD,2021-06-18,0.050303938,,0.130519978,-0.130519978,90,1.445,6.65,0.71595867,0.28404133,2.923435123,2021-07-16
AMD,2021-07-16,0.050599435,,0.042659213,-0.042659213,90,2.425,6.55,0.631178802,0.368821198,3.94638744,2021-08-20
AMD,2021-08-20,0.02343425,,-0.070630519,0.070630519,110,2.735,8.075,0.64505547,0.35494453,4.630403789,2021-09-17
AMD,2021-09-17,0.019578584,,0.168415889,-0.168415889,110,1.915,8,0.698159632,0.301840368,3.751698642,2021-10-15
AMD,2021-10-15,0.032295408,,0.317226678,-0.317226678,120,2.595,10.45,0.688293067,0.311706933,5.043457962,2021-11-19
AMD,2021-11-19,0.033303352,,-0.091371883,0.091371883,170,3.375,18.05,0.722801464,0.277198536,7.442888509,2021-12-17
AMD,2021-12-17,0.027640257,,-0.206045907,0.206045907,145,6.75,13.725,0.580598166,0.419401834,9.675327792,2022-01-21
AMD,2022-01-21,0.057410987,,0.079561828,-0.079561828,110,14.6,4.85,0.309989524,0.690010476,7.872397862,2022-02-18
AMD,2022-02-18,0.055121634,,-0.113507259,0.113507259,125,3.175,14.15,0.699041543,0.300958457,6.478019065,2022-03-18
AMD,2022-03-18,0.037589726,,,,115,5.225,6.825,0.515720489,0.484279511,5.999847218,2022-04-14
AMD,2022-04-15,0.051287724,LS,0.191063911,-0.191063911,,,,,,,
AMD,2022-05-20,0.037355735,,-0.249262244,0.249262244,105,2.4,13.825,0.728183992,0.271816008,5.505497895,2022-06-17
AMD,2022-06-17,0.019265877,,0.235384578,-0.235384578,90,2.13,10.45,0.710315827,0.289684173,4.540172321,2022-07-15
AMD,2022-07-15,0.020912417,LS,-0.101619979,0.101619979,90,2.385,11.075,0.701546356,0.298453644,4.978562167,2022-08-19
AMD,2022-08-19,-0.013613239,,-0.253447335,0.253447335,100,3.075,6.9,0.605073821,0.394926179,4.585592636,2022-09-16
AMD,2022-09-16,0.003907248,,-0.052084133,0.052084133,85,1.88,10.1,0.724053463,0.275946537,4.148280537,2022-10-21
AMD,2022-10-21,0.001090025,,0.292537798,-0.292537798,65,1.78,7.825,0.692602763,0.307397237,3.638216296,2022-11-18
AMD,2022-11-18,-0.037261178,,,,80,1.91,8.15,0.693324756,0.306675244,3.82365352,2022-12-16
AMZN,2019-01-18,0.039491061,LS,-0.045904764,0.045904764,87.5,2.28625,4.98625,0.60028017,0.39971983,3.36549354,2019-02-15
AMZN,2019-02-15,0.00749223,,0.085932383,-0.085932383,84,0.90625,4.4025,0.722703116,0.277296884,1.87574923,2019-03-15
AMZN,2019-03-15,0.016754613,LS,,,89.5,0.84125,4.7275,0.739263184,0.260736816,1.854538453,2019-04-18
AMZN,2019-04-19,0.016495046,,-0.078616473,0.078616473,,,,,,,
AMZN,2019-05-17,0.016845475,,0.066791779,-0.066791779,97.5,1.16125,4.97875,0.709235679,0.290764321,2.271242795,2019-06-21
