ticker,date,return
AAPL,2023-01-20,0.015372419093850898
AAPL,2023-02-17,-1.0
AAPL,2023-03-17,-0.003975715705764382
AAPL,2023-05-19,-0.008000179999999135
AAPL,2023-06-16,0.010189577874817557
AAPL,2023-07-21,-0.003213721079691201
AAPL,2023-09-15,-2.3113207492375665e-06
AAPL,2023-10-20,-0.006089147496617153
AAPL,2023-12-15,0.0035674673008319058
AAPL,2024-01-19,-0.03994976279650464
AAPL,2024-02-16,-0.017309600532624647
AAPL,2024-03-15,-0.01671583087512285
AAPL,2024-04-19,-0.009558140183193564
AAPL,2024-05-17,-0.028872543031649434
AAPL,2024-06-21,0.0015558921161826778
AAPL,2024-07-19,0.009618365384613359
AAPL,2024-08-16,-0.10364232492997139
AAPL,2024-09-20,-0.00990099009900991
AAPL,2024-10-18,0.004016064257028162
AAPL,2024-11-15,0.03437409680813719
AMD,2023-01-20,0.004728132387706863
AMD,2023-02-17,0.0011221290684624297
AMD,2023-03-17,-2.679343102940379e-08
AMD,2023-04-21,-0.008150489028213359
AMD,2023-05-19,0.004663677548301548
AMD,2023-06-16,-0.006585828759605006
AMD,2023-07-21,-0.027777115384615803
AMD,2023-08-18,0.011527982708932072
AMD,2023-09-15,-0.010930273224042275
AMD,2023-10-20,-0.007699581328200256
AMD,2023-11-17,-0.0005222390396660836
AMD,2023-12-15,-0.7411720551984877
AMD,2024-01-19,0.018022432432422297
AMD,2024-02-16,0.01581262492093627
AMD,2024-03-15,-0.01476935696432613
AMD,2024-04-19,6.163328247765776e-08
AMD,2024-05-17,1.1405835573796708e-06
AMD,2024-06-21,0.013236847172082955
AMD,2024-07-19,-0.05263000000000173
AMD,2024-08-16,0.005067043918919323
AMD,2024-09-20,0.010417916666680238
AMD,2024-10-18,0.00249406982543654
AMD,2024-11-15,0.018709735483870782
AMZN,2023-01-20,-0.01785850446428594
AMZN,2023-02-17,-0.025001525000000413
AMZN,2023-03-17,-0.0071327960057054884
AMZN,2023-04-21,-0.0053050397877985045
AMZN,2023-05-19,0.0009539980916035695
AMZN,2023-06-16,0.018329938900203624
AMZN,2023-07-21,0.06976784053156582
AMZN,2023-08-18,-0.05054158844765422
AMZN,2023-09-15,0.008157838205302914
AMZN,2023-10-20,0.0009917013888895987
AMZN,2023-11-17,0.039749205020923384
AMZN,2023-12-15,0.0018754784240142541
AMZN,2024-01-19,0.004847264542936713
AMZN,2024-02-16,0.04988080760095226
AMZN,2024-03-15,-0.07501224999997191
AMZN,2024-04-19,0.019978643533123286
AMZN,2024-05-17,-0.019230336538463733
AMZN,2024-06-21,0.0058557979502211754
AMZN,2024-07-19,0.04336431011826525
AMZN,2024-08-16,-0.012492201070791187
