,ticker,date,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate,return
0,AAPL,2018-01-19,46.25,0.60375,2.35625,0.6895981517907511,0.3104018482092489,1.1477292389867086,2018-02-16,-0.15011437291310392
1,AAPL,2018-02-16,45.0,0.3825,2.1875,0.7506525425811685,0.24934745741883146,0.8325721606409908,2018-03-16,-0.8517521996804511
2,AAPL,2018-03-16,46.25,0.3825,2.00625,0.7433920930427632,0.2566079069572368,0.7991670889218132,2018-04-20,0.5476739829246011
3,AAPL,2018-04-20,43.75,0.55625,2.91875,0.7334939302646298,0.26650606973537017,1.185870589749812,2018-05-18,0.7488873623729817
4,AAPL,2018-05-18,47.5,0.50625,1.31875,0.6495235133656371,0.3504764866343629,0.7910121453904199,2018-06-15,-0.8715086971593851
5,AAPL,2018-06-15,48.75,0.47125,1.8625,0.7086318911928964,0.2913681088071036,0.876615881377883,2018-07-20,-0.70418330040893
6,AAPL,2018-07-20,48.75,0.74875,1.8125,0.6206925542016143,0.3793074457983857,1.1522382954680328,2018-08-17,2.040872259019031
7,AAPL,2018-08-17,56.25,0.5237499999999999,2.2249999999999996,0.7159999256877064,0.28400007431229357,1.0069051264237894,2018-09-21,-0.4824337242040023
8,AAPL,2018-09-21,56.25,0.6100000000000001,2.26875,0.700612825542233,0.29938717445776697,1.1066084756318209,2018-10-19,-0.6151500146219131
9,AAPL,2018-10-19,56.25,1.3,2.73125,0.6024713945231762,0.3975286054768238,1.868962816588704,2018-11-16,0.6734181524795853
10,AAPL,2018-11-16,51.25,0.71,3.38125,0.7260260320896995,0.2739739679103005,1.4418529617803901,2018-12-21,1.578031122558504
11,AAPL,2018-12-21,40.0,0.81875,2.95,0.6864168794774691,0.3135831205225309,1.487074025613644,2019-01-18,-0.8323568345868069
12,AAPL,2019-01-18,41.25,0.4775,2.68125,0.7353799303597284,0.2646200696402716,1.0606564784697485,2019-02-15,-0.06054427058699241
13,AAPL,2019-02-15,43.75,0.5,1.6125,0.6706499501757066,0.3293500498242934,0.8664019304295264,2019-03-15,1.1518960150102262
14,AAPL,2019-03-15,47.5,0.7325,1.55625,0.6150656264830461,0.3849343735169539,1.049589690184591,2019-04-18,1.0305100323431562
15,AAPL,2019-04-18,52.5,0.86875,2.45625,0.6468984672868313,0.3531015327131687,1.4292986831821552,2019-05-17,0.2969878644377668
16,AAPL,2019-05-17,50.0,0.57875,3.18125,0.7421210588102383,0.25787894118976173,1.2498799444463549,2019-06-21,-0.9370714944164359
17,AAPL,2019-06-21,51.25,0.6737500000000001,2.125,0.6678492643779768,0.33215073562202324,1.1557837550714614,2019-07-19,-0.826852715887242
18,AAPL,2019-07-19,52.5,0.6525000000000001,2.6187500000000004,0.6933134795988963,0.30668652040110367,1.2555223707386702,2019-08-16,-0.7862637005877601
19,AAPL,2019-08-16,52.5,1.34375,2.0687499999999996,0.5577989784833489,0.4422010215166511,1.6643457405995719,2019-09-20,-0.3523301681712204
20,AAPL,2019-09-20,55.0,1.2062499999999998,1.61875,0.5432692403199949,0.4567307596800051,1.394651438368002,2019-10-18,0.5980781986794057
21,AAPL,2019-10-18,61.25,0.80625,2.9437499999999996,0.6913382946531005,0.3086617053468995,1.4660143951789975,2019-11-15,1.4474844785935672
22,AAPL,2019-11-15,68.75,0.6475,2.91875,0.7144487778939436,0.28555122210605643,1.2960582132083807,2019-12-20,-0.38811533665674014
23,AAPL,2019-12-20,71.25,0.84375,2.03125,0.6419252079327712,0.3580747920672288,1.2689638155798342,2020-01-17,3.265713375154599
24,AAPL,2020-01-17,78.75,3.1624999999999996,2.3,0.43146562153668755,0.5685343784633125,2.672139098575393,2020-02-21,-0.8962771320607605
25,AAPL,2020-02-21,81.25,1.0812499999999998,3.95,0.6862964703918176,0.3137035296081824,1.981187000563473,2020-03-20,2.7906879625321137
26,AAPL,2020-03-20,65.0,1.66875,9.23125,0.7227844846670287,0.2772155153329713,3.7651923347055947,2020-04-17,0.0941990181128387
